chr	trait	index	pos	lm_coefficient	variance_explained	pos.left_refineqtl	pos.peak_refineqtl	pos.right_refineqtl	max.lod	int.size
chrI	CobaltChloride	576	194101	0.148690597720545	0.0252533164728934	192954	193500	194475	33.007787951649	1521
chrVII	CobaltChloride	9826	609644	-0.0973736095031757	0.0090487066339514	607495	609644	610923	14.1608432921734	3428
chrX	CobaltChloride	14166	331639	0.0835504360661468	0.00361279569161126	329192	331412	332665	10.4787706679573	3473
chrV	CobaltChloride	6733	196326	0.0929736787878437	0.00788240912117356	194686	196326	198865	10.2175628083938	4179
chrXIII	CobaltChloride	20568	13364	-0.220094828747709	0.0515537411032935	23620	26333	29145	70.6018485027627	5525
chrX	CobaltChloride	15105	656567	0.175922031425231	0.0343659981655475	651274	656567	658561	45.8780610273293	7287
chrXII	CobaltChloride	19033	657536	0.396479889429746	0.127730024108651	649258	650767	657602	185.689195296135	8344
chrXV	CobaltChloride	24236	73877	0.119530076453404	0.00609682781658479	71821	75860	80664	15.5221436476322	8843
chrVII	CobaltChloride	9359	375494	-0.116731218139739	0.0168970411953601	368346	375494	378078	20.3230379476929	9732
chrXIV	CobaltChloride	23486	485549	-0.102598054697136	0.0162454273458474	478701	485549	488598	11.3841772223442	9897
chrXV	CobaltChloride	25755	561511	-0.105758475726476	0.0090978470684777	559768	561511	569787	16.1339070703401	10019
chrV	CobaltChloride	7023	290603	-0.118776498670023	0.0062168520739544	283424	290603	294112	16.611297655548	10688
chrIII	CobaltChloride	3211	95776	-0.13287986215127	0.0157380263894916	92716	95776	103593	23.8745762565745	10877
chrXIII	CobaltChloride	22580	905868	0.109404377257859	0.0132062577518502	902532	905868	914895	17.9239364863264	12363
chrXV	CobaltChloride	26570	941405	-0.0888008801556565	0.00347057074865096	922306	928579	941514	8.27097321627906	19208
chrXII	CobaltChloride	18822	568546	-0.0985514644679236	0.00827627374092118	553633	568546	574950	12.6031464808516	21317
chrVIII	CobaltChloride	11163	122014	-0.0469909692604138	0.00127651546153825	116378	122014	144393	3.33738000734667	28015
chrXV	CobaltChloride	24694	201792	-0.0787712987435592	0.00960760396177478	197493	215865	226144	6.5519768009749	28651
chrI	CobaltChloride	124	50840	-0.0470047754231531	0.00171308595936576	33070	56129	62361	3.33670995549465	29291
chrVI	CobaltChloride	8290	192545	-0.0425186784699812	0.00122991166031991	168984	192485	208668	2.73089771691741	39684
chrXII	CobaltChloride	18492	369495	0.0587223457410746	0.00328840061991545	342319	369495	384824	5.17741815192574	42505
chrXV	CobaltChloride	26440	856254	0.0727009505368787	0.00227372223011921	841378	856254	883966	3.71265773935005	42588
chrXV	CobaltChloride	24504	147007	-0.0960547219284075	0.00497520677054658	138746	146782	182946	7.60580413827353	44200
chrXII	CobaltChloride	18008	135855	-0.0489675651075879	0.00213660881235887	124642	135855	177778	3.60069304296115	53136
chrIII	CobaltChloride	3352	211772	0.0597273354675497	0.00236096831251441	207086	211772	266048	4.87846422855597	58962
chrIX	CobaltChloride	12492	194026	0.0810294891548585	0.00642273407779262	166532	183089	248675	9.8768515195946	82143
chrXVI	CobaltChloride	27801	541496	0.0479883588454342	0.00226902914064568	513417	543686	599378	3.48465597515371	85961
chrII	CobaltChloride	2404	566670	0.0660274766877274	0.00500880407930217	498575	534922	589895	6.59301090644635	91320
chrXIV	CobaltChloride	23595	542570	-0.0516076383506886	0.00163329286416269	500387	517970	607186	2.90470054318115	106799
chrXV	CobaltChloride	25118	395238	0.0658462327631145	0.00435248859397199	312146	429834	438541	6.20943039705469	126395
chrX	CobaltChloride	13607	96194	-0.0520249001569744	0.00250026575517844	26108	58993	226665	4.09292724133724	200557
chrXVI	CobaltChloride	27048	215587	-0.0402283872283529	0.00160749410527541	195879	339477	462045	2.45427476855156	266166
chrXV	CobaltChloride	26258	794469	0.0281970327821998	0.00185301246171845	561511	652034	856254	0.706474741894965	294743
chrXIII	CopperSulfate	20656	50109	-0.269077955463956	0.0790616168335436	49712	50109	50514	120.727111257755	802
chrXV	CopperSulfate	25747	558953	-0.248505450228409	0.0524401314126757	557021	558953	560189	98.1145566066658	3168
chrIX	CopperSulfate	12055	48879	0.0766991229656293	0.012860243864224	45805	49364	52260	7.95098322255228	6455
chrXI	CopperSulfate	17510	616713	-0.203552589786988	0.0338339733951017	614193	617158	620930	72.5246960373008	6737
chrXII	CopperSulfate	19025	649837	0.274268561119273	0.0694443086467398	648877	649837	656891	128.027547754533	8014
chrXII	CopperSulfate	18008	135855	-0.0833908110889832	0.00810922226331353	132610	135855	140997	12.5631624546397	8387
chrXV	CopperSulfate	24570	161464	-0.227624203411891	0.0434703916205915	150653	160688	162766	80.6264147343906	12113
chrIV	CopperSulfate	4979	605994	-0.135871260560914	0.0216659596303444	600764	605994	613791	32.7952025441268	13027
chrVIII	CopperSulfate	11463	210710	-0.27949396824642	0.0774230347929036	204657	209176	218189	132.319903611103	13532
chrVII	CopperSulfate	8999	185620	-0.088978250911099	0.00591700054422833	178509	183709	192137	6.73842935783239	13628
chrVII	CopperSulfate	10128	851656	-0.0607949766531396	0.00280369866759382	845614	851827	859306	6.6780655101436	13692
chrI	CopperSulfate	70	40866	0.0601724260144906	0.00474607246178425	33070	37409	48115	6.54980755673	15045
chrXIV	CopperSulfate	23288	385702	0.149659449462367	0.0260689328180163	374309	376313	389873	36.5811474240148	15564
chrXIII	CopperSulfate	22622	914895	0.0730651905328337	0.00301717915207183	892535	914895	914895	8.62613345863986	22360
chrXVI	CopperSulfate	27668	497425	-0.0655867779115431	0.00425103915753222	492354	497425	518590	7.75504695067809	26236
chrXV	CopperSulfate	25282	433993	0.0749206640265369	0.0050616191291596	427668	433993	455594	9.33126994068027	27926
chrXIII	CopperSulfate	22377	817301	-0.0611710282399438	0.00355258116240986	801587	817301	833534	6.04633992078232	31947
chrII	CopperSulfate	2276	541588	0.108227747241692	0.0107244517244882	518106	541103	551704	19.2422330697785	33598
chrII	CopperSulfate	1695	393708	-0.0573682347425743	0.00507720869451656	375505	393708	415997	5.46672394944324	40492
chrVII	CopperSulfate	8803	126965	0.117758474198941	0.00208753398409104	125195	126965	170641	3.17978107626448	45446
chrIII	CopperSulfate	3434	246183	-0.0626785190814767	0.00331609212433463	238947	251323	296689	7.11924807357263	57742
chrV	CopperSulfate	6959	261193	0.0438317475913658	0.000397853683335337	211245	245593	270213	3.4965862127666	58968
chrXIV	CopperSulfate	23488	487250	0.0531757447136489	0.00344527208045935	427278	437955	487818	4.69341936069873	60540
chrIV	CopperSulfate	6169	1476051	0.0428845922273139	0.00151878335832954	1418662	1450091	1479403	3.35449300283938	60741
chrXIII	CopperSulfate	21245	236833	-0.071532892802737	0.00344933869029826	234266	247466	300324	9.06847248688064	66058
chrIX	CopperSulfate	12255	102310	0.0604056277956109	0.00378301591343766	74610	103157	148596	4.88694452380912	73986
chrXV	CopperSulfate	24029	36415	0.044959892151641	0.0019594409026545	33217	86295	108945	3.27820768205379	75728
chrVII	CopperSulfate	8756	120263	0.0242239690695996	0.000153664651990397	27002	125090	126965	0.167054130781253	99963
chrI	CopperSulfate	409	167326	0.0304407469413584	0.00040510310162683	37409	74572	187801	1.69685961008543	150392
chrIX	CopperSulfate	12753	274516	0.0335124297924375	0.00146301244290936	213122	303589	424914	2.00577048241814	211792
chrIV	CopperSulfate	4599	369971	-0.0331222566965474	0.00069441803281159	19638	109331	593316	1.97985746544441	573678
chrVII	CopperSulfate	9471	425446	-0.0325868918680342	0.00198292323615979	187678	412413	851062	1.94042886157536	663384
chrXVI	Diamide	27328	375273	-0.241971200791994	0.0563786998030727	374664	375533	376113	44.1780587306904	1449
chrXIII	Diamide	20651	49588	-0.16979234369	0.00553619432013337	48814	49588	50514	18.3784995045496	1700
chrVI	Diamide	8425	232619	-0.0930458344300772	0.00276583855734201	231077	232279	233790	19.6768218920964	2713
chrII	Diamide	1308	254834	-0.130370403946045	0.00732847079269163	253219	254834	256267	38.2239352928149	3048
chrXVI	Diamide	27707	505150	-0.152011939541651	0.0183538448964297	501255	505150	506806	44.4026863173232	5551
chrVIII	Diamide	11145	114337	0.203891680163387	0.0369882248467851	109025	114337	115080	79.4262428935441	6055
chrII	Diamide	1977	465618	-0.138371410506514	0.0231750491710953	464424	467580	470873	41.449817250328	6449
chrIII	Diamide	3162	74673	0.0776578108888507	0.00371004712328095	70425	74673	77505	12.4024721859773	7080
chrVII	Diamide	10027	801370	0.0743380850273903	0.00632562357292494	798399	802550	806826	12.7902645579269	8427
chrXV	Diamide	25748	559465	-0.187199373264335	0.017604307731442	555451	559465	564258	42.7938948328667	8807
chrXIII	Diamide	21299	252178	-0.246119206922279	0.0571439414008838	246258	252178	255485	124.060149149559	9227
chrX	Diamide	15105	656567	0.111387726467882	0.0135746083109031	655475	662769	664824	27.4225527477188	9349
chrXV	Diamide	24812	248578	0.0947926110192451	0.0109485350502707	259644	266279	269477	19.4020275767417	9833
chrVII	Diamide	9039	197465	0.0883599419196069	0.0121156423727511	189229	196981	199690	14.0349926814971	10461
chrXIII	Diamide	20881	106723	-0.225708530106659	0.112127733405036	100124	106723	110807	3.49816677643855	10683
chrIX	Diamide	12492	194026	-0.109843585161727	0.0058164186330943	192753	195961	204156	18.2690336180337	11403
chrXV	Diamide	25976	621972	0.148361719927387	0.00504761196988489	614917	621972	626502	11.7805364127078	11585
chrXII	Diamide	19021	648649	0.156505008017609	0.0285693305873495	644551	647722	656891	52.6744767125267	12340
chrV	Diamide	7013	283424	0.162719697377825	0.0235801279273279	280130	286762	294112	59.9895446496855	13982
chrVII	Diamide	9604	471518	0.144023444517311	0.038907260199047	468710	472821	484725	40.2828069180957	16015
chrXIV	Diamide	23515	502498	-0.0854488343946025	0.00745943762278158	488598	502498	504830	15.9575699417567	16232
chrI	Diamide	120	50343	-0.0582068568527561	0.00452125249759218	42257	48815	58490	7.89381533920209	16233
chrXV	Diamide	26049	653775	0.0713421950029309	0.00782675000984825	639978	644459	656264	3.46369076287488	16286
chrII	Diamide	2760	654507	-0.0675914647278538	0.00505258983052693	646524	653429	663226	10.2047893284184	16702
chrXIII	Diamide	20571	24565	0.0954273183097551	0.00351118392159919	9746	24565	27643	7.64225254465748	17897
chrVII	Diamide	9420	400162	0.0937929278274764	0.00635001977458652	396581	400162	414724	17.4253143003721	18143
chrIV	Diamide	5405	948413	-0.0907648140281322	0.00519805922749808	936486	948413	955222	18.9000695156219	18736
chrVIII	Diamide	11841	460316	0.0599024570659218	0.00344142401839156	447930	460316	466717	8.31988964226798	18787
chrXI	Diamide	16092	209185	0.0815071861230108	0.00851959229336555	201652	208258	220701	15.4093638818035	19049
chrIX	Diamide	12716	268399	0.117766906341971	0.00653513342821253	249665	267764	269349	5.57884757781699	19684
chrIX	Diamide	11993	37771	0.0542521938349658	0.00310630909954355	28874	37771	52905	6.75175900761792	24031
chrXV	Diamide	26588	956308	-0.0673263068360862	0.00455803129656366	934516	956308	960232	10.4741063151218	25716
chrXIII	Diamide	20895	111621	0.00333281415298664	1.30783466828911E-07	128498	140137	156894	0.000881601954461075	28396
chrXIV	Diamide	22917	137678	0.081106729104782	0.00880986085013431	116131	137678	148156	14.1356459485107	32025
chrXII	Diamide	18344	289382	0.0458598343811564	0.0000846538478269375	284108	288935	319560	4.69432599661445	35452
chrVI	Diamide	7977	98578	0.0553035250833796	0.00391056619196248	95387	96991	133936	6.9665006944	38549
chrVII	Diamide	8639	84714	0.0554361835417897	0.00221397428504401	80305	89311	120263	5.59201512084132	39958
chrXII	Diamide	19809	828754	0.0504696119536947	0.00165486066097351	823767	827901	866118	5.64715591768868	42351
chrVIII	Diamide	11294	164143	-0.0441332310858569	0.00189177307663006	142368	171564	186876	3.8657164243632	44508
chrXII	Diamide	18008	135855	-0.0556602015721434	0.000946550208633666	132253	134351	177778	5.86169629731046	45525
chrIII	Diamide	3477	254370	-0.0557409298562052	0.00179051071601082	238947	253015	284743	6.72781100275517	45796
chrXV	Diamide	25185	415299	-0.0546291185288151	0.00252458537056885	399654	419521	452290	6.38068361951036	52636
chrXII	Diamide	17730	53269	0.0396941742625898	0.00224845347449104	33112	76842	87687	3.03692471736645	54575
chrIII	Diamide	3347	204750	0.0345541462856633	0.00069917054852977	168408	209941	224861	2.29799785070475	56453
chrXII	Diamide	18576	449184	-0.0362627306027486	0.000867888313694972	433955	449184	491106	2.97772518424335	57151
